Company,Change
Garden Reach Ship,+ 65.24
IFCI Ltd.,+ 59.65
ITD Cementation Indi,+ 43.80
Intellect Design,+ 43.79
Astra Microwave,+ 43.06
Paras Defence,+ 41.24
Apar Industries,+ 39.89
CARE Ratings,+ 39.24
Zen Technologies Ltd,+ 38.35
BEML Ltd.,+ 36.29
Netweb Technologies,+ 36.02
ideaForge Technology,+ 35.53
Garware Hi-Tech Film,+ 35.35
R R Kabel,+ 34.82
Honasa Consumer,+ 34.20
Mishra Dhatu Nig,+ 33.28
eClerx Services,+ 33.07
CCL Products India,+ 32.35
Techno Electric&Eng,+ 31.83
Hitachi Energy India,+ 31.45
Mazagon Dock Ship,+ 31.45
Prince Pipes & Fitti,+ 31.03
Kajaria Ceramics,+ 30.99
Shilpa Medicare L,+ 30.83
Authum Investment,+ 30.57
Force Motors,+ 30.37
ITI,+ 30.24
Schneider Electric,+ 30.19
Genus Power Infrastr,+ 30.18
Cochin Shipyard,+ 29.96
RailTel Corporation,+ 29.74
Bharat Dynamics,+ 28.83
Edelweiss Fin. Ser,+ 28.82
Angel One,+ 28.56
Pfizer Ltd.,+ 28.40
Birla Corporation Lt,+ 28.09
Bharat Electroni,+ 27.93
Tata Teleservices (M,+ 27.38
Data Patterns (India,+ 27.33
Inox Green Energy Se,+ 27.14
Endurance Technologi,+ 26.88
Eureka Forbes,+ 26.63
Nazara Technologies,+ 26.54
Tanla Platforms,+ 26.14
EPL L,+ 25.75
Elecon Engg.,+ 25.67
Avantel Ltd.,+ 25.53
Finolex Industries,+ 25.22
