Company,Change
Suven Life Sciences,+ 82.21
Cosmo First,+ 80.40
Khaitan (India),+ 77.55
ASM Technologies Ltd,+ 77.54
AtlasCycles(Haryana),+ 72.44
Delta Manufacturing,+ 59.94
Dynamic Cables,+ 57.48
HLE Glascoat,+ 56.36
Nahar Poly Films Ltd,+ 56.16
Apollo Micro Systems,+ 54.56
Nelcast Ltd.,+ 52.62
Centum Electronics L,+ 52.29
Camlin Fine Sciences,+ 52.02
Kriti Industries,+ 50.46
TIL Ltd.,+ 50.45
IFGL Refractories,+ 50.28
Rollatainers Ltd,+ 49.34
Nucleus Software,+ 48.43
Kernex Microsystems,+ 45.91
GE Vernova T&D India,+ 44.88
Banco Products,+ 44.57
Pearl Global Industr,+ 43.72
Praxis Home Retail L,+ 43.01
Godavari Biorefineri,+ 42.80
Khaitan Chemical,+ 41.92
Ecos (India) Mobilit,+ 39.57
Hind Rectifiers,+ 38.91
Maan Aluminium Ltd.,+ 38.78
Sandhar Technologies,+ 38.33
Reliance Home Fin,+ 38.32
Ausom Enterprise,+ 38.07
Visaka Indus.,+ 38.06
ICDS Ltd.,+ 37.88
Honda India Power,+ 37.82
BLS E-Services,+ 37.27
Cupid Ltd.,+ 36.80
Centrum Capital,+ 36.73
Eimco Elecon Ind,+ 36.49
Linc L,+ 35.83
Sigma Solve,+ 34.60
IOL Chemicals and Ph,+ 34.52
Nahar Indust.Ent,+ 34.50
Aarti Drugs Ltd,+ 34.41
Kaya L,+ 34.23
NDTV,+ 34.12
Alicon Castalloy,+ 33.97
India Glycols,+ 33.79
Precision Wires,+ 33.42
India Pesticides,+ 33.33
HPL Electric & Power,+ 33.13
Dishman Carbogen Amc,+ 32.55
Sharda Cropchem,+ 32.55
Aarti Surfactants,+ 32.31
Unimech Aerospace,+ 32.26
Saksoft Ltd.,+ 31.79
A2Z Infra Engineer,+ 31.74
Advait Energy Trans,+ 31.49
Syncom Formul.,+ 31.28
SRM Contractors,+ 30.97
Inspirisys Solutions,+ 30.78
Northern Spirits,+ 30.64
NIBE,+ 30.49
Dredging Corpora,+ 30.33
Vascon Engineers Ltd,+ 30.14
Credo Brands Marketi,+ 30.02
Interarch Building,+ 29.98
Kilitch Drugs(I),+ 29.93
Emcure Pharmaceutica,+ 29.92
Modison L,+ 29.89
Exxaro Tiles,+ 29.83
Premier Explos.,+ 29.63
Oriental Trimex,+ 29.49
Man Industries I,+ 29.23
Dhanuka Agritech Ltd,+ 28.96
Ram Ratna Wires,+ 28.86
Valiant Organics,+ 28.23
Transrail Lighting L,+ 28.01
Nahar Spg Mills,+ 27.91
Yuken India,+ 27.91
PPAP Automotive,+ 27.82
Universal Cables,+ 27.61
Mold-Tek Packaging,+ 27.41
TBO Tek,+ 27.22
Western Carriers (In,+ 27.11
Hindware Home Innova,+ 26.83
Racl Geartech,+ 26.81
Shankara Building Pr,+ 26.70
Venus Remedies L,+ 26.51
Greenlam Industries,+ 26.48
Consolidated Constru,+ 26.24
Munjal Showa Ltd,+ 26.17
Carysil L,+ 26.11
Shriram Pistons,+ 26.09
Universus Photo Imag,+ 25.85
T Nadu Newsprint,+ 25.62
Jet Freight Logistic,+ 25.55
DCM Financial,+ 25.44
Master Trust Ltd.,+ 25.43
Standard Glass Linin,+ 25.11
Ravindra Energy Ltd.,+ 25.11
